INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0009', '001', 'Front fascia and header panel', 'installed', '8.53', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0017', '001', 'Front spoiler', 'installed', '72.54', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAED0030', '005', 'Door and bonnet', 'installed', '204.77', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAEW0033', '003', 'Glass', 'installed', '4.83', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEIS0081', '003', 'Ignition controller', 'installed', '27.24', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-ICS0161', '003', 'Seat cover', 'installed', '36.44', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-IFCAP0151', '004', 'Carpet and other floor material', 'installed', '5.61', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEESS0055', '002', 'Battery box', 'installed', '74.74', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEIS0076', '002', 'Distributor', 'installed', '34.03', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAES0112', '002', 'IMA sensor', 'received', '25.38', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEWH0128', '002', 'Air conditioning harness', 'installed', '55.92', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0018', '003', 'Rear spoiler', 'ordered', '9.92', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAED0028', '003', 'Door watershield', 'installed', '86.07', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEESS0060', '003', 'Battery tray', 'received', '96.50', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAES0107', '003', 'Temperature sensor', 'installed', '115.91', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEESS0061', '001', 'Voltage regulator', 'installed', '24.37', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-EAEM0149', '001', 'Transmission computer', 'installed', '1.28', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-ICS0161', '001', 'Seat cover', 'installed', '34.18', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-PACBS0185', '001', 'Calibrated friction brake', 'received', '25.74', '2');
